Species,Bird_Population_Parameter,Life_Cycle_Phase,Region,PD_Species,Methodology,Variable,Effect Direction,Descriptive only?,Abundance_Change,Abundance_Num,H1 Conclusion,Reference,Ref_Num,,,,,,,,,,,,,,,,,,,,,,,,,,
American Avocet,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
American Crow,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
American Crow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
American Crow,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
American Golden-Plover,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
American Goldfinch,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2018,52,,,,,,,,,,,,,,,,,,,,,,,,,,
American Goldfinch,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
American Kestrel,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
American Kestrel,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
American Kestrel,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Positive,No,Increase,1,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
American Kestrel,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
American Kestrel,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pipit,Occurrence,Postbreeding Migration/Adult,OK (USA),BTPD,Relative density,birds/km,Negative,No,Decrease,-1,NA,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
American Pipit,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
American Robin,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Aplomado Falcon,Occurrence,Breeding Season/Adult,"NM, AZ (USA)",BTPD,Historical record analysis,NA,Positive,Yes,Increase,1,Supports,Truett,16,,,,,,,,,,,,,,,,,,,,,,,,,Nest success,Avg brood size
Baird's Sandpiper,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Baird's Sparrow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Baird's Sparrow,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Negative,No,Decrease,-1,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Eagle,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Eagle,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Bald Eagle,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2019,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank Swallow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2020,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Species richness,species,Positive,No,Increase,1,Supports,Agnew et al (1986),43,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2021,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Barn Swallow,Occurrence,Breeding Season/Adult,OK (USA),BTPD,Relative density,birds/km,Neutral,No,Neutral,0,Supports,Smith and Lomolino (2004),60,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-billed Magpie,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-billed Magpie,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-billed Magpie,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2022,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-billed Magpie,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-capped Chickadee,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Grosbeak,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2023,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jay,Occurrence,Year-round/Adult,CO (USA),BTPD,Relative abundance,# birds/count,Neutral,No,Neutral,0,Does not support,Magle et al (2012),55,,,,,,,,,,,,,,,,,,,,,,,,,,
Boat-tailed Grackle,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobolink,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Neutral,No,Neutral,0,NA,Geaumont et al 2024,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Blackbird,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Blackbird,Occurrence,Breeding Season/Adult,SD (USA),BTPD,Relative density,birds/ha,Not tested,No,NA,0,NA,Geaumont et al 2024,52,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Blackbird,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Sparrow,Occurrence,Non-breeding Season/Adult,CHH (MX),BTPD,Relative abundance,not specified,Negative,No,Decrease,-1,NA,"Desmond, M",47,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance ,birds/km^2,Negative,No,Decrease,-1,,Duchardt et al (2019),49,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,Duchardt et al (2018),50,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Sparrow,Occurrence,Breeding Season/Adult,WY (USA),BTPD,Relative abundance,birds/12.6 ha,Negative,No,Decrease,-1,,Duchard et al (2021),51,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Sparrow,Occurrence,Year-round/Adult,CHH (MX),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Manzano-Fischer et al (1999),56,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Sparrow,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Brewer's Sparrow,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Neutral,No,Neutral,0,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Breeding Season/Adult,"MT, WY, SD (USA)",BTPD,Relative density,birds/km^2,Negative,No,Decrease,-1,NA,"Augustine, DJ; Baker, BW",44,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Breeding Season/Adult,WY (USA),WTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Breeding Season/Adult,WY (USA),BTPD,General survey,NA,Positive,Yes,Increase,1,Supports,Campbell and Clark,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Year-round/Adult,OK (USA),BTPD,Behavioral observation,NA,Positive,Yes,Increase,1,Supports,Tyler (1968),62,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Breeding Season/Adult,NM (USA),BTPD,Relative density,birds/km^2,Not tested,No,NA,0,NA,Goguen (2012),53,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Occurrence,Breeding Season/Adult,"KS, CO (USA)",BTPD,Relative abundance ,birds/km,Not tested,No,NA,0,NA,Winter et al (2003),61,,,,,,,,,,,,,,,,,,,,,,,,,,
