Ref_Num,Paper_Authors,Variable_Number,PD_Species,Bird_Species,Bird_Category,Country,State_Province,Loc_Name,Tribal_Land,Habitat_Type,Habitat_Type_1,Habitat_Type_2,Habitat_Type_3,Habitat_Type_4,Lat,Long,Ref_Num_BCR,BCR,BCRNAME,Start_Year,End_Year,Study_Duration,Season,Months,Sampling_Period,Sampling_Period_1,Sampling_Period_2,Sampling_Period_3,Sampling_Period_4,Patch_Size_ha,Grazing_Regime,Fire_Regime,Mean_PD_Size,Total_PD_Size,Min_PD_Size,Max_PD_Size,Effect_Type,Survey_Type,Sampling_Scheme,Abundance_Variable,Abundance_Units,Abundance_Test,Alpha_Variable,Alpha_Units,Alpha_Test,Beta_Variable,Beta_Units,Beta_Test,Demo_Variable_1,Demo_Units_1,Demo_Test_1,Demo_Variable_2,Demo_Units_2,Demo_Test_2,Diet_Variable_1,Diet_Units_1,Diet_Test_1,Diet_Variable_2,Diet_Units_2,Diet_Test_2,Summary_Data,Sample_Size_Count,Sample_Size_Units,Variance,Effect_Size,Data_Text,Data_Figures,Data_Availability,Conclusions,Evidence_Strength,Hypothesis_1,Hypothesis_2,Hypothesis_3,Descriptive_only
1,Aagard et al,1,"BTPD, WTPD, GUPD","FEHA, GOEA, BAEA, PRFA",Raptor,USA,CO,Colorado (statewide),No,"Shortgrass Prairie, Sagebrush Steppe, Pinyon-Juniper Woodland, Agriculture",Shortgrass Prairie,Sagebrush Steppe,Pinyon-Juniper Woodland,Agriculture,39.052994,-105.607773,1,16,SOUTHERN ROCKIES/COLORADO PLATEAU,1975,2020,46,Spring/Summer,N/A,Breeding Season,Breeding Season,NA,NA,NA,"26,983,800",Cattle,Not specified (presumably suppressed),N/A (statewide),N/A (statewide),N/A (statewide),N/A (statewide),Nesting,Distribution modeling,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest distance to PD town,kilometers,Spearmann Rank Correlation,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,"194 BAEA, 106 FEHA, 344 GOEA, 79 PRFA nests",nests,NA,NA,Yes,No,Available online,"Golden Eagle and Prairie Falcon nests correlated with distance to prairie dog towns ""across multiple selection frames."" Bald Eagle nests were also correlated with distance to prairie dog towns, in addition to habitat variables. Ferruginous Hawk nests were just correlated with herbaceous grassland and shrub-scrub cover.",Moderate,NA,NA,Supports,No
2,Bak et al,1,BTPD,FEHA,Raptor,"USA, MX","NM, CHH","Janos Complex, NM bootheel",No,Desert grassland,Desert grassland,NA,NA,NA,31.8858,-107.4137,2,35,CHIHUAHUAN DESERT,1999,2000,2,Winter,Nov-Feb,Nonbreeding Season,Nonbreeding Season,NA,NA,NA,N/A (multiple sites),Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Transect,"13 PD sites, 7 historic, 9 grassland",Presence/absence,Binary,GLM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not specified,22,FEHA observations,Not calculating,Not calculating,Yes,No,Not mentioned,FEHA occurrence was highly correlated with BTPD towns/BTPD presence. Vegetation characteristics did not influence FEHA occurrence. ,Moderate,NA,NA,Supports,No
3,Berry et al,1,BTPD,"FEHA, BAEA, RLHA, PRFA",Raptor,USA,CO,Boulder,No,"Shortgrass Prairie, Mixed-grass Prairie, Urban, Agriculture",Shortgrass Prairie,Mixed-grass Prairie,Urban,Agriculture,40.097134,-105.275878,3,18,SHORTGRASS PRAIRIE,1993,1996,4,"Winter, Summer","Nov-Mar, May-July","Breeding, Nonbreeding",Nonbreeding Season,Breeding Season,NA,NA,Not specified,No grazer,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Point count,"34 plots (urban, upland, lowland)",Relative abundance ,birds w/in 300 m,Spearmann Rank Correlation w/ Bonferroni correction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not specified,"21 TUVU, 27 BAEA, 23 NOHA, 15 SWHA, 179 RTHA, 33 FEHA, 32 RLHA, 19 GOEA, 96 AMKE, 11 PRFA observations",observations,Not calculating,Not calculating,Yes,No,Not mentioned,"Bald Eagle, Ferruginous Hawk, and Rough-legged Hawk counts were all negatively correlated with distance to nearest prairie dog town (i.e., more raptors closer to the PD towns). All other raptors were not significantly correlated with distance to PD town",Moderate,NA,NA,Supports,No
4,Boal et al,1,BTPD,BAEA,Raptor,USA,TX,Rita Blanca NG,No,"Shortgrass Prairie, Mixed-grass Prairie, Agriculture",Shortgrass Prairie,Mixed-grass Prairie,Agriculture,NA,36.277587,-102.608508,4,18,SHORTGRASS PRAIRIE,2004,2005,2,Spring/Summer,Feb-July,Breeding Season,Breeding Season,NA,NA,NA,Not specified,Cattle,Not specified (presumably suppressed),Not specified,196,Not specified,Not specified,Nesting,Diet analysis,1 BAEA nest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,% Composition by frequency,# pellets,NA,NA,NA,NA,NA,112,pellets,Not calculating,Not calculating,Yes,No,Not mentioned,"This nest represents the first in the TX panhandle since 1916 and the lack of aquatic prey is unusual. BTPDs were the majority of the prey items by frequency (~80%), and the nest was successful across multiple years. The authors conclude that this is not an anomalous occurrence and that Bald Eagles may have had such nests more frequently prior to European colonization",Weak,NA,NA,Supports,Yes
5,Borre-Gonzalez et al,1,MEPD,BAEA,Raptor,MX,NLE,Northern Mexican Plateau,No,Desert grassland,Desert grassland,NA,NA,NA,24.788461,-100.325328,5,35,CHIHUAHUAN DESERT,2005,2005,1,Winter,Jan,Nonbreeding Season,Nonbreeding Season,NA,NA,NA,"936,400",Cattle and goats,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Occurrence,Behaviorial observation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BAEA observation,NA,NA,Yes,No,NA,First Nuevo Leon record in association with a Mexican Prairie Dog town.,Weak,NA,NA,Supports,Yes
6,Cartron et al,1,GUPD,FEHA,Raptor,USA,NM,"Estancia Valley, San Augustin Plains",No,"Shortgrass Prairie, Sagebrush Steppe, Pinyon-Juniper Woodland",Shortgrass Prairie,Sagebrush Steppe,Pinyon-Juniper Woodland,NA,34.3237,-107.159,6,34,SIERRA MADRE OCCIDENTAL,2000,2000,1,Summer,June-July,Breeding Season,Breeding Season,NA,NA,NA,"216,600",Cattle,Not specified (presumably suppressed),33,919,Not specified,Not specified,Diet,Diet analysis,Aerial and ground surveys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frequency,# prey items,NA,NA,NA,NA,Reported,260,prey items,Not calculating,Not calculating,Yes,No,Not mentioned,"GUPD were the 3rd most common prey item, but this varied between study areas based on availability of prey (GUPD were more abundant at one site vs the other)",Weak,NA,NA,Supports,Yes
7,Cook et al,1,GUPD,FEHA,Raptor,USA,NM,"Estancia Valley, San Augustin Plains",No,"Shortgrass Prairie, Sagebrush Steppe, Pinyon-Juniper Woodland",Shortgrass Prairie,Sagebrush Steppe,Pinyon-Juniper Woodland,NA,34.3237,-107.159,7,34,SIERRA MADRE OCCIDENTAL,1999,2000,2,Spring/Summer,Mar-July,Breeding Season,Breeding Season,NA,NA,NA,"216,600",Cattle,Not specified (presumably suppressed),33,919,Not specified,Not specified,Nesting,Diet analysis,Aerial and ground surveys,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nest distance to PD town,kilometers,2 species test of association,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,60,FEHA nests,Not calculating,Not calculating,Yes,No,Not mentioned,More occupied nests in proximity to PD towns than expected by random chance (@ 0.7-2.8 km). Mean productivity was higher for FEHA nests w/in 2 km of a PD town; PD remains abundance was positively correlated with productivity.,Strong,NA,NA,Supports,No
7,Cook et al,2,GUPD,FEHA,Raptor,USA,NM,"Estancia Valley, San Augustin Plains",No,"Shortgrass Prairie, Sagebrush Steppe, Pinyon-Juniper Woodland",Shortgrass Prairie,Sagebrush Steppe,Pinyon-Juniper Woodland,NA,34.3237,-107.159,7,34,SIERRA MADRE OCCIDENTAL,1999,2000,2,Spring/Summer,Mar-July,Breeding Season,Breeding Season,NA,NA,NA,"216,600",Cattle,Not specified (presumably suppressed),33,919,Not specified,Not specified,Nesting,Diet analysis,Aerial and ground surveys,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productivity,Number of fledglings,Linear regression,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,60,FEHA nests,Not calculating,Not calculating,Yes,No,Not mentioned,More occupied nests in proximity to PD towns than expected by random chance (@ 0.7-2.8 km). Mean productivity was higher for FEHA nests w/in 2 km of a PD town; PD remains abundance was positively correlated with productivity.,Strong,NA,NA,Supports,No
8,Cully,1,GUPD,"FEHA, GOEA, RTHA",Raptor,USA,NM,Moreno Valley,No,Shortgrass Prairie,Shortgrass Prairie,NA,NA,NA,36.529343,-105.272038,8,16,SOUTHERN ROCKIES/COLORADO PLATEAU,1985,1987,3,Spring/Summer/Fall,Mar-Nov,"Breeding, Postbreeding Migration",Breeding Season,Postbreeding Migration,NA,NA,NA,Cattle,Not specified (presumably suppressed),76.25,305,2,200,Occurrence,Point count,43 roadside point counts,Relative abundance ,Avg birds/count,Two-way ANOVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reported,43,point counts,Not calculating,Not calculating,Yes,No,Not mentioned,"Ferruginous Hawk numbers declined with GUPD plague during breeding and autumn migration. GOEA numbers declined with GUPD plague as well (no difference b/w summer and autumn). Red-tailed Hawk numbers did not decline with GUPD plague, presumably due to generalist food habits. These results suggest GUPD are an important food source for GOEA and FEHA, especially during migration of the latter. All 3 species were observed eating prairie dogs.",Strong,NA,NA,Supports,No
9,Giovanni et al,1,BTPD,"FEHA, SWHA",Raptor,USA,"TX, OK, NM","Rita Blanca NG, Kiowa NG, OK Panhandle",No,"Shortgrass Prairie, Mixed-grass Prairie, Agriculture",Shortgrass Prairie,Mixed-grass Prairie,Agriculture,NA,36.42395,-102.682196,9,18,SHORTGRASS PRAIRIE,2003,2004,2,Spring/Summer,Mar-NA,Breeding Season,Breeding Season,NA,NA,NA,"81,000",Cattle,Not specified (presumably suppressed),Not specified,Not specified,Not specified,Not specified,Diet,Diet analysis,Video monitoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Frequency,Number of prey items,t-test,NA,NA,NA,Reported,"12 FEHA nests, 14 SWHA nests",nests,Not calculating,Not calculating,Yes,No,Not mentioned,"BTPD were the 2nd most frequent prey item for FEHA and the highest proportion of the biomass. SWHA consumed reptiles, amphibians, insects, and small mammals, but did not consume BTPD. Cottontails were the responsible for the greatest biomass for SWHA. Although the authors did not test this, SWHA prey items such as cottontails can be more abundant on prairie dog towns so they may still represent important foraging sites (RAD note-- look at community papers).",Strong,NA,NA,Supports,No
